lambda,epochs,executors,sample,gen,start,finish
0.002,1,1,1,1571952661.917336,1571953145.463251,1571953380.070025
0.002,1,1,2,1571953019.918706,1571953380.070088,1571953616.954933
0.002,1,1,3,1571953077.924417,1571953616.954995,1571953852.085055
0.002,1,3,1,1571957074.034567,1571957640.055411,1571957889.999837
0.002,1,3,2,1571957432.035269,1571957889.999964,1571958140.440244
0.002,1,3,3,1571957490.036952,1571958140.440297,1571958384.823550
0.002,5,1,1,1571961486.135378,1571961949.423079,1571962184.593482
0.002,5,1,2,1571961844.139345,1571962184.593551,1571962419.690940
0.002,5,1,3,1571961902.139901,1571962419.691006,1571962650.824149
0.002,5,3,1,1571965898.186346,1571966437.891828,1571966682.690044
0.002,5,3,2,1571966256.186837,1571966682.690116,1571966932.486405
0.002,5,3,3,1571966314.191252,1571966932.486522,1571967182.643010
0.006,1,1,1,1571969344.235648,1571970908.096969,1571971138.855721
0.006,1,1,2,1571969683.237635,1571971138.855778,1571971368.622958
0.006,1,1,3,1571969844.240995,1571971368.623026,1571971603.791888
0.006,1,3,1,1571972632.191284,1571973722.075559,1571973977.917543
0.006,1,3,2,1571972757.197726,1571973977.917769,1571974233.348333
0.006,1,3,3,1571972779.198350,1571974233.348522,1571974489.029249
0.006,5,1,1,1571987727.642453,1571989350.253111,1571989585.317441
0.006,5,1,2,1571988066.648916,1571989585.317492,1571989816.113561
0.006,5,1,3,1571988227.650692,1571989816.113801,1571990046.463108
0.006,5,3,1,1571991343.170996,1571993098.251301,1571993342.718702
0.006,5,3,2,1571991638.171372,1571993342.718767,1571993619.481112
0.006,5,3,3,1571991977.172183,1571993619.481172,1571993869.214679